5 trials/test,,,,,,,,,,,,,,Manually Scaled Speed,Manually Scaled Speed,Manually Scaled Speed,Theoretical Speed,Jetstream Calc Speed,Jetstream Speed,No Autoscaler,,Autoscaler Speed
Stan. Deviation,Nodes=Actor,Workers/Node,Msg/Worker,# of Flop,Entire Run Time,Worker Start T,Worker Ready T,Msg Send Time,Post-Msg Time,Exec Init Time,Exec Run Time,Script Time,Calc Time,GFlop/s Clock,GFlop/s Script,GFlop/s Calc,Theory GFlops,JS GFlops Calc,JS GFlops Script,Percentage Of JS,,GFlop/s Calc
,,,,,2,2039.712968,1660.737198,378.9757698,,2,392.5362329,284.3368113,108.1994216,,,,,,,,,
,,,,,2,2130.620616,1752.938942,377.6816745,,2,394.6682549,285.9778249,108.6904299,,,,,,,,,
,,,,,2,2147.06213,1774.874865,372.1872647,,2,395.5081162,287.1888812,108.3192351,,,,,,,,,
,,,,,2,2160.881178,1780.153518,380.7276599,,2,394.9157639,286.6882582,108.2275057,,,,,,,,,
,,,,,2,2088.113935,1681.792611,406.3213243,,2,391.3963904,282.9740832,108.4223073,,,,,,,,,
,,,,,3,2948.670013,2386.142731,562.5272815,,3,593.2649198,430.7792964,162.4856234,,,,,,,,,
,,,,,3,3220.367634,2659.003039,561.3645952,,3,587.1232316,424.5917802,162.5314515,,,,,,,,,
,,,,,3,3243.384639,2683.598441,559.7861981,,3,591.3924253,425.0273883,166.365037,,,,,,,,,
,,,,,3,3217.824523,2659.426933,558.3975906,,3,588.3860469,426.8680267,161.5180202,,,,,,,,,
,,,,,3,3202.035707,2643.92527,558.1104369,,3,589.557513,426.98388,162.573633,,,,,,,,,
,,,,,5,4775.275826,3847.111262,928.1645639,,5,991.9580331,715.6150622,276.3429708,,,,,,,,,
,,,,,5,5402.425958,4458.58449,943.8414683,,5,993.0272863,716.5743456,276.4529407,,,,,,,,,
,,,,,5,5376.755255,4435.988273,940.7669821,,5,986.6015975,714.5610406,272.0405569,,,,,,,,,
,,,,,5,5446.303289,4504.633344,941.669945,,5,992.2947309,720.0444269,272.250304,,,,,,,,,
,,,,,5,5341.917391,4382.663133,959.2542574,,5,989.8228793,716.0877366,273.7351427,,,,,,,,,
,,,,,8,7945.997313,6415.069809,1530.927504,,8,1583.393936,1147.932276,435.4616604,,,,,,,,,
,,,,,8,8575.778659,7075.341823,1500.436836,,8,1590.861813,1154.531313,436.3305004,,,,,,,,,
,,,,,8,8515.749083,6995.730794,1520.018289,,8,1592.895682,1158.790684,434.1049979,,,,,,,,,
,,,,,8,8578.473986,7081.48562,1496.988366,,8,1590.530984,1156.85295,433.6780334,,,,,,,,,
,,,,,8,8521.518167,6985.397053,1536.121113,,8,1589.089272,1154.638633,434.450639,,,,,,,,,
,,,,,13,12564.30355,10144.34313,2419.960423,,13,2598.23607,1887.278186,710.9578834,,,,,,,,,
,,,,,13,14085.64061,11624.21486,2461.425755,,13,2611.11321,1901.772736,709.3404744,,,,,,,,,
,,,,,13,14100.9794,11601.35061,2499.628789,,13,2620.829297,1908.392728,712.436569,,,,,,,,,
,,,,,13,14083.83481,11624.35985,2459.474957,,13,2605.37272,1893.004876,712.3678443,,,,,,,,,
,,,,,13,14023.04252,11510.0471,2512.995426,,13,2590.505146,1880.466254,710.0388923,,,,,,,,,
,,,,,21,20930.14994,16906.26236,4023.887587,,21,4205.465317,3060.540504,1144.924812,,,,,,,,,
,,,,,21,22552.50843,18564.24425,3988.264184,,21,4185.63613,3039.01265,1146.62348,,,,,,,,,
,,,,,21,22688.4139,18640.69225,4047.721657,,21,4192.291693,3037.731175,1154.560519,,,,,,,,,
,,,,,21,22552.83171,18510.74488,4042.086824,,21,4190.938554,3042.198458,1148.740096,,,,,,,,,
,,,,,21,22495.74238,18439.75553,4055.986849,,21,4200.698781,3046.75243,1153.946351,,,,,,,,,
,,,,,34,35189.17011,28641.11765,6548.052463,,34,6748.642399,4893.010392,1855.632007,,,,,,,,,
,,,,,34,36390.32555,29892.38548,6497.940074,,34,6756.896236,4898.897537,1857.998699,,,,,,,,,
,,,,,34,36638.37048,30210.29111,6428.079366,,34,6765.799323,4908.85212,1856.947203,,,,,,,,,
,,,,,34,36342.40716,29798.71594,6543.691226,,34,6774.208732,4919.971681,1854.237051,,,,,,,,,
,,,,,34,36420.56804,29956.98688,6463.581159,,34,6756.264881,4892.721961,1863.542921,,,,,,,,,
,,,,,55,57924.00926,47245.64292,10678.36635,,55,11020.1904,7993.02471,3027.165688,,,,,,,,,
,,,,,55,59659.16652,48997.88004,10661.28648,,55,10969.13101,7946.273191,3022.857819,,,,,,,,,
,,,,,55,59571.7381,48941.12692,10630.61118,,55,11013.61696,7983.677675,3029.939286,,,,,,,,,
,,,,,55,59575.50373,48937.57632,10637.92741,,55,11033.25748,8000.203414,3033.054064,,,,,,,,,
,,,,,55,59676.65434,49036.50078,10640.15355,,55,11037.42825,8007.074431,3030.353818,,,,,,,,,
,,,,,89,96241.00104,79049.58209,17191.41896,,89,17874.93915,12952.56201,4922.37714,,,,,,,,,
,,,,,89,96524.29218,79398.39638,17125.8958,,89,17837.45703,12939.85279,4897.604239,,,,,,,,,
,,,,,89,96909.28403,79738.21913,17171.0649,,89,17870.79449,12961.67056,4909.123927,,,,,,,,,
,,,,,89,97306.57539,80088.68539,17217.89,,89,17915.89902,13012.80212,4903.096894,,,,,,,,,
,,,,,89,96690.06476,79564.30229,17125.76247,,89,17869.76242,12971.08422,4898.678203,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
, Easy Flops,,,,,Hard Flops,,,,,Hashes,,,,,,,,,,,
Nodes,,No Autoscaler Time,,Autoscaler Time,,,No Autoscaler Time,,Autoscaler Time,,,No Autoscaler Time,,Autoscaler Time,,,,,,,,
1,217.8369008,,222.2184722,,,206.6288214,,218.0765911,,,213.1170042,,206.4574568,,,,,,,,,
1,214.085374,,218.1326708,,,205.885561,,234.1348737,,,187.4598286,,207.1281372,,,,,,,,,
1,212.7371352,,218.0549712,,,210.5453217,,217.9384239,,,191.5409393,,205.6643416,,,,,,,,,
1,207.3936812,,234.1657623,,,211.1505627,,217.9390842,,,194.9982704,,208.531752,,,,,,,,,
1,213.3711053,213.0848393,233.1540208,225.1451795,,209.0879876,208.6596509,217.964416,221.2106778,,189.565126,195.3362337,200.7654879,205.7094351,,,,,,,,
2,225.9005116,,223.7495685,,,203.1167318,,219.8944783,,,213.3841353,,203.1515873,,,,,,,,,
2,216.0506165,,222.3894789,,,205.5680949,,219.4848831,,,191.7088992,,202.1574148,,,,,,,,,
2,216.7301193,,219.343259,,,205.4942865,,218.420393,,,196.0226621,,200.5811403,,,,,,,,,
2,225.4110637,,225.7572166,,,206.5832397,,234.564841,,,194.5901811,,207.6114392,,,,,,,,,
2,223.9309333,221.6046489,222.5260958,222.7531238,,202.5496074,204.6623921,218.4717097,222.167261,,196.0740658,198.3559887,204.8911999,203.6785563,,,,,,,,
3,232.0129066,,226.0437429,,,209.8434147,,234.5633897,,,238.9491464,,199.6307612,,,,,,,,,
3,222.7808782,,224.7926267,,,203.5911966,,234.9589667,,,192.961669,,203.0353566,,,,,,,,,
3,223.840026,,222.9486701,,,207.5576641,,234.8499805,,,193.4169025,,204.7601821,,,,,,,,,
3,225.3538947,,234.9202425,,,205.1014611,,235.0260237,,,216.7472051,,201.4928024,,,,,,,,,
3,226.2452535,226.0465918,224.8228934,226.7056351,,205.1128754,206.2413224,235.0557266,234.8908174,,193.7140038,207.1577853,202.3519844,202.2542173,,,,,,,,
5,235.4762777,,228.8506701,,,220.1270042,,236.138082,,,246.3082443,,206.6850173,,,,,,,,,
5,223.8710314,,226.8603437,,,210.2459427,,235.9361018,,,198.9744097,,199.0252491,,,,,,,,,
5,229.7323106,,237.7284563,,,213.1747595,,235.2379117,,,198.9395595,,201.3545664,,,,,,,,,
5,229.4768358,,229.5755145,,,213.1344885,,235.8638235,,,216.2025812,,202.6558693,,,,,,,,,
5,239.6179547,231.634882,227.5423861,230.1114741,,213.7938273,214.0952044,234.9843291,235.6320496,,200.9760442,212.2801678,201.9415269,202.3324458,,,,,,,,
8,239.5190939,,230.8796359,,,212.3796901,,237.5886882,,,238.4543493,,204.0986961,,,,,,,,,
8,231.7818833,,226.418374,,,219.5546364,,237.2478654,,,219.1508382,,200.6192262,,,,,,,,,
8,227.3043824,,228.497414,,,216.3387896,,237.2115367,,,222.437514,,203.9785227,,,,,,,,,
8,230.6821927,,227.4373988,,,220.1998023,,236.2089916,,,222.6979503,,201.6802915,,,,,,,,,
8,236.2103521,233.0995809,227.3858152,228.1237276,,221.0220851,217.8990007,237.2341747,237.0982513,,220.9771114,224.7435526,207.5261326,203.5805738,,,,,,,,
13,243.584407,,255.6868423,,,222.3867612,,240.0950274,,,258.8337107,,267.3494472,,,,,,,,,
13,237.583933,,255.3797751,,,224.0633155,,239.432537,,,207.4636869,,268.8556839,,,,,,,,,
13,238.066399,,250.0380546,,,225.3142851,,239.4072597,,,220.3021298,,263.0224249,,,,,,,,,
13,232.5340394,,253.3160902,,,226.1070303,,224.4476547,,,208.4011169,,270.9283808,,,,,,,,,
13,236.0040792,237.5545715,250.2102563,252.9262037,,222.4107,224.0564184,239.3417916,236.5448541,,215.2823091,222.0565907,262.0913598,266.4494593,,,,,,,,
21,256.1660134,,248.3848675,,,225.1625901,,228.0617868,,,280.9221906,,244.3259232,,,,,,,,,
21,236.471951,,252.1238233,,,224.0323664,,241.8402174,,,223.5242305,,241.2360171,,,,,,,,,
21,246.9050148,,249.6303753,,,225.8941791,,226.7050424,,,216.6577027,,241.9501556,,,,,,,,,
21,238.0116523,,247.0245684,,,226.0294906,,241.8492047,,,224.952143,,243.3135363,,,,,,,,,
21,241.8060465,243.8721356,242.2326841,247.8792637,,227.5409474,225.7319147,242.768598,236.2449699,,217.9215535,232.7955641,242.2626282,242.6176521,,,,,,,,
34,274.8196912,,276.7712698,,,228.347847,,232.9602314,,,283.4498443,,338.5476242,,,,,,,,,
34,246.4527437,,276.4639144,,,226.6468771,,232.4948607,,,237.878634,,349.7149975,,,,,,,,,
34,244.7527287,,280.5731715,,,225.9780229,,233.2425627,,,222.0886204,,338.330401,,,,,,,,,
